Scenario,Approach,Rank,Chkpt ID,Number of Chkpts,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
AsiaOSM,List,0,7,10,64,3489621044,40714920,8919187456,121877286001.71881,85.70865530375598,0.028632251000000004
AsiaOSM,List,0,7,10,64,3489621044,40714920,8919187456,117903126488.5197,85.70865530375598,0.029597357999999997
AsiaOSM,TreeLowOffset,0,7,10,64,3489621044,38351712,11733565440,83216210942.8562,90.98996790547447,0.04193439
AsiaOSM,TreeLowOffset,0,7,10,64,3489621044,38351712,11733565440,111897325587.95763,90.98996790547447,0.031185920000000002
AsiaOSM,TreeLowOffset,0,7,10,64,3489621044,38351712,11733565440,112879199056.78378,90.98996790547447,0.030914651
AsiaOSM,Full,0,8,10,64,3489621044,3489621044,4007657472,3446200581.1918626,1.0,1.0125995170000002
AsiaOSM,Full,0,8,10,64,3489621044,3489621044,4007657472,3447165505.439096,1.0,1.012316072
AsiaOSM,Full,0,8,10,64,3489621044,3489621044,4007657472,3420269799.7539573,1.0,1.020276542
AsiaOSM,Basic,0,8,10,64,3489621044,106812528,8596226048,28731084312.371758,32.67052198221542,0.121458035
AsiaOSM,Basic,0,8,10,64,3489621044,106812528,8596226048,28808957279.55262,32.67052198221542,0.12112972400000001
AsiaOSM,Basic,0,8,10,64,3489621044,106812528,8596226048,28659435508.28606,32.67052198221542,0.121761681
AsiaOSM,List,0,8,10,64,3489621044,51297480,8919187456,111838605328.18517,68.02714371154295,0.031202294
AsiaOSM,List,0,8,10,64,3489621044,51297480,8919187456,112799266292.00314,68.02714371154295,0.030936558
AsiaOSM,List,0,8,10,64,3489621044,51297480,8919187456,111787269366.0682,68.02714371154295,0.031216623
AsiaOSM,TreeLowOffset,0,8,10,64,3489621044,48028772,11733565440,85969492937.76306,72.65688666784985,0.040591388
AsiaOSM,TreeLowOffset,0,8,10,64,3489621044,48028772,11733565440,82315526417.77945,72.65688666784985,0.04239323
AsiaOSM,TreeLowOffset,0,8,10,64,3489621044,48028772,11733565440,87869757036.65163,72.65688666784985,0.039713561999999994
AsiaOSM,Full,0,9,10,64,3489621044,3489621044,4007657472,3458815542.6390595,1.0,1.0089063729999999
AsiaOSM,Full,0,9,10,64,3489621044,3489621044,4007657472,3401965985.027807,1.0,1.025766001
AsiaOSM,Full,0,9,10,64,3489621044,3489621044,4007657472,3446645010.0419726,1.0,1.012468947
AsiaOSM,Basic,0,9,10,64,3489621044,196890360,8596226048,23457540521.285576,17.723676486751305,0.148763296
AsiaOSM,Basic,0,9,10,64,3489621044,196890360,8596226048,23526461753.47225,17.723676486751305,0.148327491
AsiaOSM,Basic,0,9,10,64,3489621044,196890360,8596226048,23470543065.516655,17.723676486751305,0.148680882
AsiaOSM,List,0,9,10,64,3489621044,86876720,8919187456,61140176184.12473,40.16750452825567,0.057075744
AsiaOSM,List,0,9,10,64,3489621044,86876720,8919187456,79790002923.51222,40.16750452825567,0.043735065999999996
AsiaOSM,List,0,9,10,64,3489621044,86876720,8919187456,76417587273.76295,40.16750452825567,0.045665156
AsiaOSM,TreeLowOffset,0,9,10,64,3489621044,79907764,11733565440,71709439361.77998,43.67061308335445,0.048663343
AsiaOSM,TreeLowOffset,0,9,10,64,3489621044,79907764,11733565440,65849435690.19401,43.67061308335445,0.05299394
AsiaOSM,TreeLowOffset,0,9,10,64,3489621044,79907764,11733565440,64468711977.91923,43.67061308335445,0.054128909
AsiaOSM,Full,0,0,15,64,3489621044,3489621044,4007657472,3458829050.1228275,1.0,1.008902433
AsiaOSM,Full,0,0,15,64,3489621044,3489621044,4007657472,3470764774.64653,1.0,1.005432886
AsiaOSM,Full,0,0,15,64,3489621044,3489621044,4007657472,3368738846.3388395,1.0,1.035883517
AsiaOSM,Basic,0,0,15,64,3489621044,3707722404,8596226048,2495811654.783668,0.9411764592287961,1.3981908600000001
AsiaOSM,Basic,0,0,15,64,3489621044,3707722404,8596226048,2291941683.177609,0.9411764592287961,1.52256101
AsiaOSM,Basic,0,0,15,64,3489621044,3707722404,8596226048,2480198453.343755,0.9411764592287961,1.40699267
AsiaOSM,List,0,0,15,64,3489621044,451675772,8912896000,5757359234.562253,7.725942501959127,0.6061148700000001
AsiaOSM,List,0,0,15,64,3489621044,451675772,8912896000,5781747958.862754,7.725942501959127,0.60355814
AsiaOSM,List,0,0,15,64,3489621044,451675772,8912896000,5453427413.765465,7.725942501959127,0.63989502
